ValuationID,InventoryID,ItemName,ValuationMethod,Quantity,UnitCost,TotalValue
IV1000,INV1000,Printer Paper,FIFO,500,5.00,2500.00
IV1001,INV1001,Ink Cartridges,LIFO,300,15.00,4500.00
IV1002,INV1002,Office Chairs,Weighted Average,150,50.00,7500.00
IV1003,INV1003,Desktop Computers,FIFO,100,700.00,70000.00
IV1004,INV1004,Monitors,LIFO,250,150.00,37500.00
IV1005,INV1005,Laptops,Weighted Average,50,1000.00,50000.00
IV1006,INV1006,Keyboards,FIFO,400,10.00,4000.00
IV1007,INV1007,Mouse,LIFO,450,7.00,3150.00
IV1008,INV1008,Headphones,Weighted Average,200,25.00,5000.00
IV1009,INV1009,Projectors,FIFO,20,400.00,8000.00
IV1010,INV1010,Paper Clips,LIFO,1000,0.10,100.00
IV1011,INV1011,Whiteboards,Weighted Average,15,60.00,900.00
IV1012,INV1012,Binders,FIFO,600,2.00,1200.00
IV1013,INV1013,Staplers,LIFO,200,5.00,1000.00
IV1014,INV1014,Notebook Pads,Weighted Average,700,1.50,1050.00
IV1015,INV1015,Flash Drives,FIFO,250,12.00,3000.00
IV1016,INV1016,Printers,LIFO,50,250.00,12500.00
IV1017,INV1017,Scissors,Weighted Average,300,1.20,360.00
IV1018,INV1018,Extension Cords,FIFO,100,8.00,800.00
IV1019,INV1019,Desk Lamps,LIFO,75,15.00,1125.00
IV1020,INV1020,Copy Paper,Weighted Average,900,4.00,3600.00
IV1021,INV1021,Sticky Notes,FIFO,800,0.50,400.00
IV1022,INV1022,Markers,LIFO,500,1.00,500.00
IV1023,INV1023,External Drives,Weighted Average,40,50.00,2000.00
IV1024,INV1024,Cardboard Boxes,FIFO,200,2.50,500.00
IV1025,INV1025,USB Cables,LIFO,300,3.00,900.00
IV1026,INV1026,HDMI Cables,Weighted Average,150,5.00,750.00
IV1027,INV1027,Rechargeable Batteries,FIFO,120,10.00,1200.00
IV1028,INV1028,Battery Packs,LIFO,200,8.00,1600.00
IV1029,INV1029,Coffee Machines,Weighted Average,5,150.00,750.00
IV1030,INV1030,Desk Organizers,FIFO,100,10.00,1000.00
IV1031,INV1031,Trash Cans,LIFO,30,15.00,450.00
IV1032,INV1032,Recycling Bins,Weighted Average,25,20.00,500.00
IV1033,INV1033,Envelopes,FIFO,1200,0.05,60.00
IV1034,INV1034,Shredders,LIFO,10,80.00,800.00
IV1035,INV1035,Filing Cabinets,Weighted Average,8,100.00,800.00
IV1036,INV1036,Work Tables,FIFO,20,150.00,3000.00
IV1037,INV1037,Storage Shelves,LIFO,10,120.00,1200.00
IV1038,INV1038,Label Makers,Weighted Average,50,15.00,750.00
IV1039,INV1039,Paper Towels,FIFO,300,1.00,300.00
IV1040,INV1040,Sanitizer Bottles,LIFO,200,2.50,500.00
IV1041,INV1041,Disinfectant Wipes,Weighted Average,150,3.00,450.00
IV1042,INV1042,Brooms,FIFO,80,5.00,400.00
IV1043,INV1043,Dustpans,LIFO,100,2.00,200.00
IV1044,INV1044,Vacuum Cleaners,Weighted Average,5,200.00,1000.00
IV1045,INV1045,Mops,FIFO,30,7.00,210.00
IV1046,INV1046,Cleaning Cloths,LIFO,400,0.50,200.00
IV1047,INV1047,Hand Soap,Weighted Average,250,1.00,250.00
IV1048,INV1048,Hand Towels,FIFO,150,1.20,180.00
IV1049,INV1049,Plastic Cups,LIFO,1000,0.10,100.00
